,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0.24006,0,0,0,0.31605,0,0,0,0
1,0,0,0.25811,0,0,0,0.37107,0,0,0,0
2,0.24006,0.25811,0.29696,0.36631,0.45738,0.71609,0.47519,0,0.3212,0,0
3,0,0,0.41031,0,0.66787,0,0.69339,0,0.40449,0,0
4,0.30017,0.32413,0.5636,0.74207,0.87346,1.61868,1.02215,0.73958,0.5353,0,0
5,0,0,0.76344,0,1.604,0,1.64354,0,0.71978,0,0
6,0,0,1.07461,1.66469,2.62568,2.18903,2.55519,1.52502,1.01132,0.67221,0.49746
7,0,0,0.73132,0,1.58697,0,1.68663,0,0,0,0
8,0.31697,0.3926,0.53237,0.73954,1.0952,1.67456,1.26235,0.82077,0.52097,0,0
9,0,0,0,0,0.72479,0,0,0,0,0,0
10,0,0,0,0,0.52085,0,0,0,0,0,0